"","species","age","mean_g_diameter","mean_g_height","mean_g_leaf_area","mean_g_inv","mean_g_gross_inv","wood_density","mean_leaf_m_whole","mean_P_area","mean_N_area","LMA"
"28","GRBU",32,0.124166666666667,-17.5,-6.59266716476449,1135.66375281965,9260.1823457581,0.725,0.0867209994801716,84.6567517617935,0.464662766081522,0.015
"29","GRSP",7,0.958333333333334,45.8333333333333,-55.1361400156281,5212.11950097922,13525.9675816505,0.7425,0.362351295830669,101.132874653819,0.719815077777778,0.017
"30","GRSP",1.4,2.81833333333333,220.4,314.004861588377,8419.75982075995,8895.72028055854,0.7425,0.655204382088543,495.892818968668,1.86066168466667,0.0153333333333333
"31","GRSP",2.4,2.96,170.285714285714,614.062552360395,26196.9521531047,31879.5089923528,0.7425,0.4923175800655,95.6691556661458,0.813806088041666,0.018
"32","GRSP",5,1.28291666666667,65.625,-1.0189306871662,2653.88271226677,5528.05637998239,0.7425,0.519148713708765,NA,NA,0.0183333333333333
"33","GRSP",9,0.838095238095238,10,-65.7644361244717,6063.17715099778,17681.9580449643,0.7425,0.306356031102504,64.1363473125,0.654673079833334,0.0186666666666667
"34","HATE",7,2.82333333333333,142.857142857143,248.278120085084,54843.6167085496,94068.4640164568,0.574285714285714,0.490143511123648,99.6440449528125,0.584494984171875,0.0521
"35","HATE",1.4,2.48738095238095,319.857142857143,103.481562420518,6185.35729141238,6550.34696871922,0.574285714285714,0.734007870208436,149.571113318161,0.905847231639704,0.0403
"36","HATE",2.4,2.21888888888889,439.833333333333,125.582228637192,13683.8739276779,14593.8950769791,0.574285714285714,0.607089322069726,189.023275621007,1.26827997204861,0.0527
"37","HATE",5,1.71722222222222,193.333333333333,63.5101936477265,8738.34901615284,12018.534408573,0.574285714285714,0.58317061292656,NA,NA,0.0545333333333333
"38","HATE",9,3.17095238095238,171.428571428571,252.290830448005,77524.8266967802,132380.275279468,0.574285714285714,0.476855062712922,54.0506685347598,0.340471348276597,0.063775
"39","HATE",32,1.92904761904762,50,140.06514283994,174736.678167266,347182.428623268,0.574285714285714,0.267569497572046,48.6984611441666,0.3130298318875,0.05808
"40","HEPU",7,0.371944444444444,-4.16666666666667,-0.220589037271433,344.956407651127,805.75651188457,0.83,0.335112059093001,14.9548790756336,0.147032376428571,0.0216
"41","HEPU",1.4,1.2464814815,137.75,29.8232690323864,1050.04430336047,1159.90413737465,0.83,0.514348249557189,25.7447265033333,0.107589963761905,0.0114666666666667
"42","HEPU",2.4,0.887619047619048,94.1428571428571,7.75581887012634,773.885451480014,947.207444754257,0.83,0.497437130838506,8.00923840023611,0.117582376333333,0.0223333333333333
"43","HEPU",5,0.371666666666667,26.6666666666667,0.0414525916191354,243.154596684667,555.790258215811,0.83,0.351425045061326,NA,NA,0.0222333333333333
"44","HEPU",9,0.546190476190476,37.1428571428571,-0.297435570428415,701.757198892849,1317.04466477396,0.83,0.275799129881067,5.93821207579412,0.0804204912104787,0.0264
"45","LEES",7,0.437619047619048,42.2857142857143,2.7976316954168,551.507782084146,1520.87154598677,0.79,0.311077497505417,54.6691987613333,0.286165845333333,0.014
"46","LEES",1.4,1.03958333333333,186.125,38.9121641223935,616.995822661184,183.690027732952,0.79,0.651198681991036,17.844565793327,0.208876278188132,0.00933333333333333
"47","LEES",2.4,1.014,145.4,32.5232268537986,1289.85392871011,1781.17485357407,0.79,0.550203180528051,128.289139941,0.657643102,0.013
"48","LEES",5,0.523333333333333,49.4285714285714,3.16932604867077,296.611635619488,653.133375096112,0.79,0.491025906400253,NA,NA,0.015
"49","LEES",9,0.672380952380953,44.2857142857143,3.3051581665018,1616.65045826966,4155.98630500882,0.79,0.27667229227548,52.7596082265,0.26408683805,0.013
"50","LEES",32,0.356,55.6,-0.113361439059682,1132.47005116681,2465.60366819211,0.79,0.149353656977763,82.1565151610555,0.36045515225,0.014
"51","PELA",7,2.73571428571429,190.714285714286,351.147680515573,20373.1953022216,28651.4748904441,0.6675,0.650903062300117,1176.96489877896,7.44197978321877,0.0216666666666667
"52","PELA",1.4,0.518958333333333,36.0625,31.3731941257632,594.034404543635,597.831738582893,0.6675,0.771989332112068,1203.4866216268,2.72580255572222,0.0166666666666667
"53","PELA",2.4,1.18208333333333,101.25,144.825252603342,3259.51406700357,2898.49081488623,0.6675,0.787911413012763,1525.95725724375,7.15497117666667,0.018
"54","PELA",5,1.38952380952381,111.857142857143,158.1977696399,6001.5639922597,6609.82091593504,0.6675,0.769730496728651,NA,NA,0.0253333333333333
"55","PELA",9,2.06904761904762,130,219.793814675302,26717.4985032094,42389.0733424081,0.6675,0.515961664261565,785.702493251,5.5457825735,0.0233333333333333
"56","PELA",32,0.724999999999999,-123.75,-38.3936486468704,30569.2247693215,63700.3543084586,0.6675,0.126041576040563,557.013499117052,4.28520863175642,0.0235
"57","PEPU",7,1.44190476190476,29.8571428571429,35.3302169357195,5488.70870720018,9967.78430647068,0.6575,0.451378495490053,604.891324556667,4.71294781083334,0.034
"58","PEPU",2.4,0.544285714285715,75.4285714285714,17.6712356500952,630.863580633749,692.625485532394,0.6575,0.837839184657332,723.942482266667,6.44214694333334,0.0290670806666667
"59","PEPU",1.4,0.617916666666666,56.5,29.6906870905536,546.239232051457,655.6371123027,0.6575,0.842945590919967,180.911945987917,0.624364426636574,0.0156666666666667
"60","PEPU",5,1.23611111111111,55.6666666666667,31.1123888706319,2106.79764713049,3633.49279811923,0.6575,0.63718666942184,NA,NA,0.029
"61","PEPU",9,1.24238095238095,95.4285714285714,50.0772579060883,8465.97224803359,14793.6118144073,0.6575,0.465023556230201,300.238524654375,3.52097557225,0.0343333333333333
"62","PEPU",32,0.896111111111112,67.1666666666667,1.80130470060693,12720.265488005,18646.0427151595,0.6575,0.207731374696729,392.53582012,5.346226876,0.0396666666666667
